pipeline,n,pwa,total_penalty,n_pred_drift,n_false_drift,n_false_drift_good,n_missed_drift,n_class_error,penalty_false_drift,penalty_missed_drift,penalty_class_error,threshold
officiel,1655,0.7656797583081572,3878000.0,1655,1655,247,0,0,3878000.0,0.0,0.0,0.0
officiel,1655,0.7656797583081572,3878000.0,1655,1655,247,0,0,3878000.0,0.0,0.0,0.02
officiel,1655,0.7656797583081572,3878000.0,1655,1655,247,0,0,3878000.0,0.0,0.0,0.04
officiel,1655,0.7756495468277945,3713000.0,1490,1490,247,0,0,3713000.0,0.0,0.0,0.06
officiel,1655,0.7916012084592146,3449000.0,1226,1226,247,0,0,3449000.0,0.0,0.0,0.08
officiel,1655,0.8095468277945619,3152000.0,929,929,247,0,0,3152000.0,0.0,0.0,0.1
officiel,1655,0.8231419939577039,2927000.0,704,704,247,0,0,2927000.0,0.0,0.0,0.12
officiel,1655,0.8291238670694864,2828000.0,605,605,247,0,0,2828000.0,0.0,0.0,0.14
officiel,1655,0.831963746223565,2781000.0,558,558,247,0,0,2781000.0,0.0,0.0,0.16
officiel,1655,0.8372205438066466,2694000.0,516,516,242,0,0,2694000.0,0.0,0.0,0.18
officiel,1655,0.8433836858006042,2592000.0,486,486,234,0,0,2592000.0,0.0,0.0,0.2
officiel,1655,0.8549848942598187,2400000.0,447,447,217,0,0,2400000.0,0.0,0.0,0.22
officiel,1655,0.8702114803625378,2148000.0,402,402,194,0,0,2148000.0,0.0,0.0,0.24
officiel,1655,0.8929305135951662,1772000.0,341,341,159,0,0,1772000.0,0.0,0.0,0.26
officiel,1655,0.914380664652568,1417000.0,292,292,125,0,0,1417000.0,0.0,0.0,0.28
officiel,1655,0.9247129909365559,1246000.0,265,265,109,0,0,1246000.0,0.0,0.0,0.3
officiel,1655,0.9361329305135951,1057000.0,238,238,91,0,0,1057000.0,0.0,0.0,0.32
officiel,1655,0.9485800604229607,851000.0,203,203,72,0,0,851000.0,0.0,0.0,0.34
officiel,1655,0.9538368580060423,764000.0,179,179,65,0,0,764000.0,0.0,0.0,0.36
officiel,1655,0.9624773413897281,621000.0,153,153,52,0,0,621000.0,0.0,0.0,0.38
officiel,1655,0.9702114803625378,493000.0,124,124,41,0,0,493000.0,0.0,0.0,0.4
officiel,1655,0.9738367975830816,433001.0,109,109,36,0,1,433000.0,0.0,1.0,0.42
officiel,1655,0.9792144410876132,344001.0,92,92,28,0,1,344000.0,0.0,1.0,0.44
officiel,1655,0.9845860422960725,255101.0,75,75,20,0,2,255000.0,0.0,101.0,0.46
officiel,1655,0.9871842296072507,212101.0,68,68,16,0,2,212000.0,0.0,101.0,0.48
officiel,1655,0.9894803021148036,174101.0,57,57,13,0,2,174000.0,0.0,101.0,0.5
